NEW_SNOW_ALB,SNOW_ALB_ACCUM_A,SNOW_ALB_ACCUM_B,SNOW_ALB_THAW_A,SNOW_ALB_THAW_B,NEW_SNOW_DENSITY,LIQUID_WATER_CAPACITY,LAI_ADJUSTMENT,MIN_RAIN_TEMP,Z0SNOW,MAX_SNOW_TEMP
0.818,0.923,0.593,0.944,0.456,51.335,0.089,0.88,-0.727,0.03939,2.273
0.852,0.901,0.465,0.977,0.373,88.536,0.045,0.462,-0.224,0.00909,2.776
0.972,0.906,0.656,0.695,0.464,45.156,0.117,0.412,-2.648,0.03131,0.352
0.851,0.884,0.583,0.919,0.537,119.839,0.026,1.153,-1.697,0.02626,1.303
0.731,0.954,0.479,0.749,0.437,131.492,0.114,1.11,-1.651,0.03434,1.349
0.726,0.963,0.655,0.751,0.537,125.533,0.023,0.496,-1.674,0.03131,1.326
0.727,0.943,0.63,0.795,0.47,66.853,0.138,0.875,-1.035,0.03232,1.965
0.85,0.955,0.58,0.92,0.416,146.617,0.095,0.252,-1.858,0.00202,1.142
0.918,0.93,0.472,0.949,0.414,26.574,0.121,0.788,-0.971,0.00202,2.029
0.805,0.904,0.537,0.905,0.44,137.427,0.05,0.186,-1.466,0.04747,1.534
0.983,0.94,0.628,0.876,0.388,119.428,0.145,0.718,-0.012,0.02828,2.988
0.983,0.978,0.539,0.725,0.465,102.571,0.138,0.744,-2.864,0.01111,0.136
0.854,0.906,0.656,0.839,0.539,74.162,0.037,1.017,-0.747,0.03535,2.253
0.903,0.931,0.54,0.694,0.483,95.978,0.113,1.112,-1.774,0.00303,1.226
0.701,0.942,0.49,0.807,0.381,37.915,0.142,0.868,-1.803,0.02929,1.197
0.887,0.897,0.668,0.914,0.405,27.776,0.08,0.799,-0.958,0.02828,2.042
0.788,0.989,0.493,0.711,0.546,136.194,0.095,0.932,-2.708,0.01515,0.292
0.718,0.91,0.588,0.687,0.461,146.013,0.032,0.155,-1.979,0.04242,1.021
0.814,0.908,0.475,0.841,0.448,81.237,0.084,0.109,-2.468,0.04949,0.532
0.959,0.904,0.645,0.717,0.421,95.744,0.129,0.486,-1.248,0.03737,1.752
0.794,0.981,0.466,0.671,0.467,42.639,0.041,0.946,-2.865,0.00404,0.135
0.721,0.962,0.664,0.863,0.471,84.19,0.139,0.418,-2.817,0.03737,0.183
0.736,0.952,0.598,0.834,0.474,42.085,0.095,0.3,-0.069,0.03939,2.931
0.784,0.981,0.544,0.781,0.467,86.126,0.041,0.247,-1.422,0.01313,1.578
0.805,0.944,0.565,0.939,0.424,140.555,0.104,0.147,-0.037,0.00606,2.963
0.921,0.918,0.587,0.804,0.52,139.42,0.032,0.635,-1.352,0.01818,1.648
0.886,0.972,0.583,0.703,0.438,129.425,0.142,0.754,-1.889,0.02727,1.111
0.889,0.917,0.699,0.741,0.418,51.036,0.049,0.279,-1.298,0.00606,1.702
0.91,0.984,0.657,0.701,0.515,72.718,0.071,0.8,-0.968,0.04545,2.032
0.816,0.904,0.521,0.694,0.394,138.848,0.112,0.798,-1.48,0.04747,1.52
0.978,0.92,0.512,0.923,0.372,149.262,0.091,1.024,-1.137,0.0404,1.863
0.973,0.903,0.652,0.899,0.396,49.19,0.066,1.063,-0.212,0.02727,2.788
0.962,0.912,0.551,0.785,0.418,134.462,0.09,0.684,-2.632,0.03737,0.368
0.747,0.884,0.598,0.959,0.51,128.263,0.104,0.953,-2.499,0.04343,0.501
0.759,0.972,0.594,0.882,0.399,96.201,0.09,0.163,-1.947,0.03232,1.053
0.952,0.908,0.576,0.756,0.425,130.646,0.094,0.464,-0.681,0.01919,2.319
0.902,0.941,0.585,0.86,0.401,101.252,0.035,0.103,-0.209,0.02727,2.791
0.885,0.989,0.551,0.712,0.406,89.07,0.105,0.219,-1.93,0.01818,1.07
0.717,0.97,0.541,0.952,0.514,117.878,0.04,0.804,-2.542,0.01212,0.458
0.789,0.986,0.605,0.912,0.455,97.648,0.101,0.874,-2.078,0.04444,0.922
0.946,0.986,0.674,0.698,0.535,140.824,0.096,0.379,-1.154,0.01717,1.846
0.902,0.966,0.628,0.803,0.508,97.209,0.024,0.275,-0.258,0.02626,2.742
0.716,0.89,0.519,0.883,0.536,88.29,0.085,0.643,-0.335,0.00101,2.665
0.957,0.902,0.601,0.967,0.393,121.203,0.147,0.511,-1.102,0.02828,1.898
0.825,0.924,0.636,0.854,0.387,70.592,0.133,0.984,-0.893,0.01717,2.107
0.732,0.985,0.67,0.796,0.492,129.139,0.122,0.708,-2.068,0.03131,0.932
0.768,0.919,0.681,0.919,0.509,69.565,0.097,0.265,-1.557,0.02929,1.443
0.861,0.895,0.579,0.966,0.379,63.63,0.117,0.468,-1.503,0.04747,1.497
0.846,0.906,0.635,0.738,0.457,63.223,0.051,1.106,-2.756,0.03636,0.244
0.826,0.906,0.688,0.745,0.401,48.94,0.031,0.24,-0.18,0.01616,2.82
0.721,0.907,0.466,0.669,0.501,33.821,0.041,0.493,-0.143,0.02424,2.857
0.727,0.955,0.583,0.666,0.478,55.716,0.094,0.165,-1.011,0.01313,1.989
0.7,0.914,0.558,0.71,0.402,49.073,0.103,0.557,-0.06,0.00101,2.94
0.92,0.896,0.688,0.855,0.405,76.021,0.09,0.698,-0.938,0.00505,2.062
0.877,0.913,0.522,0.685,0.523,147.435,0.119,0.515,-2.767,0.00202,0.233
0.97,0.951,0.548,0.957,0.505,25.875,0.062,0.531,-1.3,0.03232,1.7
0.758,0.919,0.483,0.808,0.539,54.094,0.056,0.806,-2.067,0.00707,0.933
0.901,0.982,0.628,0.748,0.522,28.686,0.026,1.139,-2.544,0.03232,0.456
0.7,0.962,0.582,0.968,0.424,55.194,0.135,0.682,-1.759,0.01818,1.241
0.77,0.981,0.531,0.955,0.484,68.484,0.062,0.886,-2.131,0.02727,0.869
0.703,0.908,0.648,0.798,0.499,85.914,0.086,0.572,-0.198,0.04949,2.802
0.914,0.892,0.569,0.971,0.42,30.789,0.099,1.118,-1.631,0.03434,1.369
0.982,0.961,0.473,0.666,0.522,65.779,0.142,0.969,-2.327,0.01111,0.673
0.98,0.983,0.498,0.716,0.482,45.278,0.022,0.343,-1.768,0.01515,1.232
0.91,0.957,0.51,0.816,0.488,76.976,0.066,0.286,-0.473,0.0202,2.527
0.916,0.974,0.642,0.756,0.423,113.97,0.068,0.775,-1.643,0.01212,1.357
0.743,0.969,0.637,0.868,0.491,44.197,0.134,1.132,-2.833,0.02121,0.167
0.989,0.927,0.64,0.758,0.461,130.518,0.023,0.704,-2.133,0.04646,0.867
0.878,0.931,0.641,0.877,0.451,25.133,0.124,0.425,-2.265,0.04444,0.735
0.794,0.94,0.551,0.944,0.427,72.914,0.145,0.115,-2.167,0.04343,0.833
0.791,0.982,0.677,0.747,0.487,38.818,0.09,0.508,-2.565,0.01818,0.435
0.813,0.966,0.484,0.78,0.484,111.411,0.141,0.176,-1.802,0.04545,1.198
0.871,0.917,0.47,0.685,0.518,51.919,0.147,0.691,-1.056,0.01717,1.944
0.921,0.955,0.648,0.96,0.446,132.634,0.118,0.295,-0.373,0.03737,2.627
0.909,0.881,0.54,0.844,0.461,88.186,0.1,0.514,-2.845,0.01717,0.155
0.9,0.95,0.614,0.924,0.397,80.859,0.023,0.225,-0.825,0.02626,2.175
0.773,0.891,0.583,0.912,0.512,119.384,0.049,0.36,-2.346,0.01616,0.654
0.874,0.936,0.688,0.798,0.459,67.869,0.04,0.525,-1.827,0.00202,1.173
0.969,0.958,0.591,0.839,0.419,53.423,0.099,0.68,-2.38,0.04242,0.62
0.939,0.962,0.657,0.791,0.469,130.059,0.02,0.365,-1.63,0.00404,1.37
0.956,0.966,0.574,0.753,0.375,40.899,0.075,0.822,-0.638,0.01313,2.362
0.732,0.989,0.647,0.721,0.536,70.254,0.049,0.199,-1.837,0.04545,1.163
0.962,0.899,0.56,0.941,0.455,53.385,0.052,0.289,-1.314,0.00404,1.686
0.925,0.905,0.6,0.929,0.438,140.359,0.094,0.322,-2.168,0.01616,0.832
0.84,0.962,0.545,0.854,0.495,69.985,0.03,0.684,-2.932,0.0404,0.068
0.83,0.905,0.569,0.904,0.46,43.805,0.048,0.885,-2.76,0.0303,0.24
0.953,0.923,0.664,0.743,0.377,59.577,0.039,0.866,-0.706,0.01919,2.294
0.826,0.918,0.63,0.945,0.376,129.101,0.078,0.502,-1.905,0.03636,1.095
0.912,0.943,0.662,0.761,0.513,52.463,0.116,0.643,-1.917,0.01414,1.083
0.738,0.95,0.668,0.745,0.533,47.636,0.039,1.091,-1.504,0.02525,1.496
0.88,0.917,0.659,0.664,0.507,49.523,0.061,0.969,-2.595,0.03434,0.405
0.709,0.926,0.641,0.97,0.403,134.949,0.139,1.081,-0.328,0.04949,2.672
0.809,0.921,0.64,0.743,0.404,126.153,0.102,1.088,-1.012,0.01717,1.988
0.887,0.967,0.59,0.886,0.413,102.657,0.092,1.011,-2.823,0.00505,0.177
0.922,0.918,0.522,0.895,0.486,73.314,0.145,0.614,-2.161,0.03737,0.839
0.893,0.949,0.605,0.857,0.446,49.65,0.05,0.134,-1.974,0.00909,1.026
0.729,0.896,0.65,0.744,0.483,77.887,0.115,0.647,-0.841,0.02222,2.159
0.901,0.891,0.679,0.725,0.415,79.314,0.033,0.503,-0.652,0.03434,2.348
0.873,0.897,0.698,0.71,0.476,42.224,0.031,0.258,-2.536,0.01313,0.464
0.967,0.931,0.566,0.76,0.441,95.77,0.095,0.275,-0.378,0.01111,2.622
